,CDEX,Classe de dimension économique 
0,1,Moins de 2 000 euros de PBS
1,2,2 000 à moins de 4 000 euros de PBS
2,3,4 000 à moins de 8 000 euros de PBS
3,4,8 000 à moins de 15 000 euros de PBS
4,5,15 000 à moins de 25 000 euros de PBS
5,6,25 000 à moins de 50 000 euros de PBS
6,7,50 000 à moins de 100 000 euros de PBS
7,8,100 000 à moins de 250 000 euros de PBS
8,9,250 000 à moins de 500 000 euros de PBS
9,10,500 000 à moins de 750 000 euros de PBS
10,11,750 000 à moins de 1 000 000 euros de PBS
11,12,1 000 000 à moins de 1 500 000 euros de PBS
12,13,1 500 000 à moins de 3 000 000 euros de PBS
13,14,3 000 000 euros et plus de PBS
