,OTE64,Orientation nomenclature 64 postes 
0,1510,Exploitations spécialisées en céréaliculture (autre que le riz) et en culture de plantes oléagineuses et protéagineuses
1,1520,Exploitations spécialisées rizicoles
2,1530,"Exploitations combinant céréales, riz, plantes oléagineuses et protéagineuses"
3,1610,Exploitations spécialisées en culture de plantes sarclées
4,1620,"Exploitations combinant céréales, plantes oléagineuses et protéagineuses et culture de plantes sarclées"
5,1630,Exploitations spécialisées en culture de légumes frais de plein champ
6,1640,Exploitations spécialisées en culture de tabac
7,1650,Exploitations spécialisées en culture de coton
8,1660,Exploitations avec combinaison de diverses grandes cultures
9,2811,Exploitations spécialisées en culture de légumes d'intérieur
10,2821,Exploitations spécialisées en culture de légumes de plein air
11,2831,Exploitations spécialisées dans la culture de champignons
12,2912,Exploitations spécialisées en floriculture et culture de plantes ornementales d'intérieur
13,2913,Exploitations spécialisées en horticulture mixte d'intérieur
14,2922,Exploitations spécialisées en floriculture et culture de plantes ornementales de plein air
15,2923,Exploitations spécialisées en horticulture mixte de plein air
16,2932,Pépinières spécialisées
17,2933,Différents types d'horticulture
18,3511,Exploitations  vinicoles spécialisées dans la production  de vins de qualité bénéficiant d'une AOP
19,3512,Exploitations vinicoles spécialisées dans la production des vins de qualité bénéficiant d'une IGP
20,3513,Exploitations vinicoles spécialisées dans la productiondes vins de qualité AOP et IGP
21,3520,Exploitations spécialisées vinicoles produisant des vins autres que des vins de qualité
22,3530,Exploitations spécialisées dans la production de raisins de table
23,3540,Autres vignobles
24,3610,"Exploitations fruitières spécialisées (à l'exception des agrumes, des fruits tropicaux et des fruits à coque)"
25,3620,Exploitations agrumicoles spécialisées
26,3630,Exploitations spécialisées dans la production de fruits à coque
27,3640,Exploitations spécialisées dans la production de fruits tropicaux
28,3650,"Exploitations spécialisées dans la production de fruits, agrumes, fruits tropicaux et fruits à coque: production mixte"
29,3700,Exploitations oléicoles spécialisées
30,3800,Exploitations avec diverses combinaisons de cultures permanentes
31,4500,Exploitations bovines spécialisées — orientation lait
32,4600,Exploitations bovines spécialisées — orientation élevage et viande
33,4700,"Exploitations bovines — lait, élevage et viande combinés"
34,4810,Exploitations ovines spécialisées
35,4820,Exploitations avec ovins et bovins combinés
36,4830,Exploitations caprines spécialisées
37,4840,Exploitations d'équidés et/ou autres herbivores
38,5110,Exploitations spécialisées porcins d'élevage
39,5120,Exploitations spécialisées porcins d'engraissement
40,5130,Exploitations combinant l'élevage et l'engraissement de porcins
41,5210,Exploitations spécialisées poules pondeuses
42,5220,Exploitations spécialisées volailles de chair
43,5230,Exploitations combinant poules pondeuses et volailles de chair
44,5300,Exploitations avec diverses combinaisons de granivores
45,6110,Horticulture et cultures permanentes combinées
46,6120,Exploitations combinant grandes cultures et horticulture
47,6130,Exploitations combinant grandes cultures et vignes
48,6140,Exploitations combinant grandes cultures et cultures permanentes
49,6150,Exploitations de polyculture à orientation grandes cultures
50,6160,Autres exploitations de polyculture
51,7310,Exploitations de polyélevage à orientation laitière
52,7320,Exploitations de polyélevage à orientation herbivores autres que laitiers
53,7410,"Exploitations de polyélevage, granivores et bovins laitiers combinés"
54,7420,Exploitations de polyélevage: granivores et herbivores autres que laitiers
55,8310,Exploitations mixtes combinant grandes cultures avec bovins laitiers
56,8320,Exploitations mixtes combinant bovins laitiers avec grandes cultures
57,8330,Exploitations mixtes combinant grandes cultures avec herbivores non laitiers
58,8340,Exploitations mixtes combinant herbivores non laitiers avec grandes cultures
59,8410,Exploitations mixtes combinant grandes cultures et granivores
60,8420,Exploitations mixtes avec cultures permanentes et herbivores
61,8430,Exploitations apicoles
62,8440,Exploitations avec diverses cultures et élevages mixtes
63,9000,Exploitations non classées
