,OTEFDD ,Orientation nomenclature détaillée
0,1500,Céréales et/ou oléoprotéagineuses
1,1600,Autres grandes cultures
2,2800,Légumes ou champignons
3,2900,Fleurs et/ou horticulture diverse
4,3500,Viticulture
5,3900,Fruits ou autres cultures permanentes
6,4500,Bovins lait
7,4600,Bovins viande
8,4700,Bovins mixte
9,4813,Ovins ou caprins
10,4840,Equidés et/ou autres herbivores
11,5100,Porcins 
12,5200,Volailles   
13,5374,"Combinaisons de granivores (porcins, volailles)"
14,6184,Polyculture et/ou  polyélevage
15,9000,Non classées
